"year","sex","age","deaths"
2002,"male",20,97.589885213044
2002,"male",25,116.70542973931
2002,"male",30,116.70542973931
2002,"male",35,135.463041498637
2002,"male",40,160.97300653698
2002,"male",45,190.149363971807
2002,"male",50,192.16152655352
2002,"male",55,199.204095589512
2002,"male",60,234.416940769477
2002,"male",65,250.514241423175
2002,"male",70,262.120478170268
2002,"male",75,302.830468547693
2002,"male",80,247.98512007541
2002,"male",85,413.499410541867
2003,"male",0,333.071260623499
2003,"male",1,56.5211836209574
2003,"male",5,32.2978192119756
2003,"male",10,25.232671259356
2003,"male",15,85.7910822818103
2003,"male",20,107.995832990044
2003,"male",25,140.066841673845
2003,"male",30,109.005139840418
2003,"male",35,150.386720705762
2003,"male",40,201.861370074848
2003,"male",45,163.507709760627
2003,"male",50,205.898597476345
2003,"male",55,235.168496137198
2003,"male",60,232.140575586075
2003,"male",65,244.252257790566
2003,"male",70,279.577997553664
2003,"male",75,287.652452356658
2003,"male",80,269.484929049922
2003,"male",85,418.862342905309
2004,"male",0,304.435143288732
2004,"male",1,54.4354229721574
2004,"male",5,30.2419016511986
2004,"male",10,37.2983453698116
2004,"male",15,98.790212060582
2004,"male",20,115.927289662928
2004,"male",25,115.927289662928
2004,"male",30,149.193381479246
2004,"male",35,137.096620818767
2004,"male",40,162.298205528099
2004,"male",45,187.499790237431
2004,"male",50,221.773945442123
2004,"male",55,207.661058004897
2004,"male",60,240.927149821215
2004,"male",65,252.015847093322
2004,"male",70,284.273875521267
2004,"male",75,267.136797918921
2004,"male",80,298.386762958493
2004,"male",85,414.723049711866
2005,"male",0,292.027347208138
2005,"male",1,49.1729897360783
2005,"male",5,27.0953208749819
2005,"male",10,36.1270944999759
2005,"male",15,76.2683106110601
2005,"male",20,104.367161888819
2005,"male",25,121.42717873603
2005,"male",30,122.430709138807
2005,"male",35,128.45189155547
2005,"male",40,174.614290083217
2005,"male",45,219.773158208186
2005,"male",50,194.684898138759
2005,"male",55,250.882600694277
2005,"male",60,264.932026333156
2005,"male",65,265.444467389894
2005,"male",70,324.140320097006
2005,"male",75,312.09795526368
2005,"male",80,297.044999222024
2005,"male",85,412.450995541391
2006,"male",0,266.425033288948
2006,"male",1,47.0750998668442
2006,"male",5,25.0399467376831
2006,"male",10,35.0559254327563
2006,"male",15,89.1422103861518
2006,"male",20,113.180559254328
2006,"male",25,120.191744340879
2006,"male",30,127.20292942743
2006,"male",35,140.223701731025
2006,"male",40,174.278029294274
2006,"male",45,172.27483355526
2006,"male",50,231.369107856192
2006,"male",55,261.417043941411
2006,"male",60,251.401065246338
2006,"male",65,318.508122503329
2006,"male",70,289.461784287617
2006,"male",75,340.54327563249
2006,"male",80,334.533688415446
2006,"male",85,423.675898801598
2007,"male",0,295.855078035812
2007,"male",1,56.0585078467555
2007,"male",5,29.0302987063555
2007,"male",10,37.0386569701777
2007,"male",15,85.088806553111
2007,"male",20,112.117015693511
2007,"male",25,107.111791778622
2007,"male",30,103.107612646711
2007,"male",35,151.157762229644
2007,"male",40,175.182837021111
2007,"male",45,185.193284850889
2007,"male",50,272.284180969955
